molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL4551635,Cc1ccccc1Oc1cc(-n2c(=O)cc(C(F)(F)F)[nH]c2=O)c2ccccc2c1Cl,"Aspartate aminotransferase, mitochondrial",IC50,50,Aspartate transaminase assay (GOT2),active,CHEMBL4512121
CHEMBL4242398,O=C(CCC(=O)Nc1c[nH]c2ccccc12)Nc1ccccc1,"Aspartate aminotransferase, cytoplasmic",IC50,100000,Inhibition of GOT1 (unknown origin) using aspartate and alpha-ketoglutarate as substrate after 20 mins by MDH1 enzyme-coupled fluorescence assay,inactive,CHEMBL4232614
CHEMBL4250509,O=C(NCc1ccc(Cl)cc1)N1CCN(c2cccc3[nH]ccc23)CC1,"Aspartate aminotransferase, cytoplasmic",IC50,100000,Inhibition of GOT1 (unknown origin) using aspartate and alpha-ketoglutarate as substrate after 20 mins by MDH1 enzyme-coupled fluorescence assay,inactive,CHEMBL4232614
CHEMBL4239480,O=C(OCc1ccccc1)N1CCN(c2cccc3[nH]ccc23)CC1,"Aspartate aminotransferase, cytoplasmic",IC50,100000,Inhibition of GOT1 (unknown origin) using aspartate and alpha-ketoglutarate as substrate after 20 mins by MDH1 enzyme-coupled fluorescence assay,inactive,CHEMBL4232614
CHEMBL4248258,O=C(CCc1ccccc1)N1CCN(c2cccc3[nH]ccc23)CC1,"Aspartate aminotransferase, cytoplasmic",IC50,100000,Inhibition of GOT1 (unknown origin) using aspartate and alpha-ketoglutarate as substrate after 20 mins by MDH1 enzyme-coupled fluorescence assay,inactive,CHEMBL4232614
CHEMBL4237682,O=C(NCc1ccccc1)N1CCN(c2cccc3[nH]ccc23)CC1,"Aspartate aminotransferase, cytoplasmic",IC50,100000,Inhibition of GOT1 (unknown origin) using aspartate and alpha-ketoglutarate as substrate after 20 mins by MDH1 enzyme-coupled fluorescence assay,inactive,CHEMBL4232614
CHEMBL4238138,O=C(Cc1ccccc1)N1CCN(c2cccc3[nH]ccc23)CC1,"Aspartate aminotransferase, cytoplasmic",IC50,100000,Inhibition of GOT1 (unknown origin) using aspartate and alpha-ketoglutarate as substrate after 20 mins by MDH1 enzyme-coupled fluorescence assay,inactive,CHEMBL4232614
CHEMBL4248152,O=C(c1ccccc1)N1CCN(c2cccc3[nH]ccc23)CC1,"Aspartate aminotransferase, cytoplasmic",IC50,100000,Inhibition of GOT1 (unknown origin) using aspartate and alpha-ketoglutarate as substrate after 20 mins by MDH1 enzyme-coupled fluorescence assay,inactive,CHEMBL4232614
CHEMBL4237444,O=C(NCCc1c[nH]c2ccccc12)Nc1ccc(Br)cc1,"Aspartate aminotransferase, cytoplasmic",IC50,67000,Inhibition of GOT1 (unknown origin) using aspartate and alpha-ketoglutarate as substrate after 20 mins by MDH1 enzyme-coupled fluorescence assay,inactive,CHEMBL4232614
CHEMBL4244956,O=C(NCCc1c[nH]c2ccccc12)Nc1ccc(OC(F)(F)F)cc1,"Aspartate aminotransferase, cytoplasmic",IC50,63000,Inhibition of GOT1 (unknown origin) using aspartate and alpha-ketoglutarate as substrate after 20 mins by MDH1 enzyme-coupled fluorescence assay,inactive,CHEMBL4232614
