molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL4636473,COc1ccc(C(=O)N2C[C@@H](C)N(C(=O)c3ccc(OC)cc3F)[C@H](C)C2)c(F)c1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",IC50,360,Allosteric inhibition of His-tagged CPS1 (unknown origin) expressed in baculovirus infected Sf21 insect cells assessed as reduction in ADP level preincubated for 20 mins followed by ATP addition measured after 60 mins by ADP-Glo assay,active,CHEMBL4619220
CHEMBL4649844,CCOc1ccc(C(=O)N2C[C@@H](C)N(C(=O)c3ccc(OC)cc3F)[C@H](C)C2)c(F)c1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",IC50,130,Allosteric inhibition of His-tagged CPS1 (unknown origin) expressed in baculovirus infected Sf21 insect cells assessed as reduction in ADP level preincubated for 20 mins followed by ATP addition measured after 60 mins by ADP-Glo assay,active,CHEMBL4619220
CHEMBL4634332,COc1ccc(C(=O)N2[C@H](C)CN(C(=O)c3ccc(OC)c(F)c3)C[C@H]2C)c(F)c1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",IC50,540,Allosteric inhibition of His-tagged CPS1 (unknown origin) expressed in baculovirus infected Sf21 insect cells assessed as reduction in ADP level preincubated for 20 mins followed by ATP addition measured after 60 mins by ADP-Glo assay,active,CHEMBL4619220
CHEMBL4644019,CCOc1ccc(C(=O)N2[C@H](C)CN(C(=O)c3ccc(OC)cc3F)C[C@H]2C)c(F)c1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",IC50,380,Allosteric inhibition of His-tagged CPS1 (unknown origin) expressed in baculovirus infected Sf21 insect cells assessed as reduction in ADP level preincubated for 20 mins followed by ATP addition measured after 60 mins by ADP-Glo assay,active,CHEMBL4619220
CHEMBL4634845,COc1ccc(C(=O)N2C[C@@H](C)N(C(=O)c3ccc(C)cc3F)[C@H](C)C2)c(F)c1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",IC50,360,Allosteric inhibition of His-tagged CPS1 (unknown origin) expressed in baculovirus infected Sf21 insect cells assessed as reduction in ADP level preincubated for 20 mins followed by ATP addition measured after 60 mins by ADP-Glo assay,active,CHEMBL4619220
CHEMBL4649653,COc1ccc(C(=O)N2[C@H](C)CN(C(=O)c3ccc4cc[nH]c4c3)C[C@H]2C)c(F)c1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",IC50,66,Allosteric inhibition of His-tagged CPS1 (unknown origin) expressed in baculovirus infected Sf21 insect cells assessed as reduction in ADP level preincubated for 20 mins followed by ATP addition measured after 60 mins by ADP-Glo assay,active,CHEMBL4619220
CHEMBL4638888,COc1ccc(C(=O)N2[C@H](C)CN(C(=O)c3ccc4cc(C)[nH]c4c3)C[C@H]2C)c(F)c1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",IC50,170,Allosteric inhibition of His-tagged CPS1 (unknown origin) expressed in baculovirus infected Sf21 insect cells assessed as reduction in ADP level preincubated for 20 mins followed by ATP addition measured after 60 mins by ADP-Glo assay,active,CHEMBL4619220
CHEMBL4639689,COc1ccc(C(=O)N2CC3CC2CN3C(=O)c2ccc(OC)cc2F)c(F)c1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",IC50,66000,Allosteric inhibition of His-tagged CPS1 (unknown origin) expressed in baculovirus infected Sf21 insect cells assessed as reduction in ADP level preincubated for 20 mins followed by ATP addition measured after 60 mins by ADP-Glo assay,inactive,CHEMBL4619220
CHEMBL4635338,COc1ccc(C(=O)N2[C@H](C)CN(C(=O)c3cccc(OC)c3F)C[C@H]2C)c(F)c1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",IC50,66000,Allosteric inhibition of His-tagged CPS1 (unknown origin) expressed in baculovirus infected Sf21 insect cells assessed as reduction in ADP level preincubated for 20 mins followed by ATP addition measured after 60 mins by ADP-Glo assay,inactive,CHEMBL4619220
CHEMBL4640145,COc1ccc(C(=O)N2[C@H](C)CN(C(=O)c3cc(OC)ccc3F)C[C@H]2C)c(F)c1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",IC50,66000,Allosteric inhibition of His-tagged CPS1 (unknown origin) expressed in baculovirus infected Sf21 insect cells assessed as reduction in ADP level preincubated for 20 mins followed by ATP addition measured after 60 mins by ADP-Glo assay,inactive,CHEMBL4619220
