molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1231506,CCCCCCCCCCCCCCNC(=O)N[C@H](CC(=O)[O-])C[N+](C)(C)C,Carnitine palmitoyltransferase 2,IC50,380,Inhibition of rat CPT2,active,CHEMBL2217050
CHEMBL3431602,COc1ccc(Cl)cc1S(=O)(=O)N1CCc2c(C)cc(C(=O)Nc3ccc(C(=O)O)c(F)c3)cc21,Carnitine palmitoyltransferase 2,IC50,684.3,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL3431605,COc1ccc(Cl)cc1S(=O)(=O)N1CCc2c(C)cc(C(=O)Nc3ccc(C(=O)O)cc3)cc21,Carnitine palmitoyltransferase 2,IC50,344.8,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL3431606,COc1ccc(Cl)cc1S(=O)(=O)N1CCc2c(C)cc(C(=O)Nc3ccc(C(=O)O)c(Cl)c3)cc21,Carnitine palmitoyltransferase 2,IC50,967.1,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL3431462,O=C([C@H]1CCCCN1C(=O)COc1ccccc1)N1Cc2ccc(Cl)cc2C1,Carnitine palmitoyltransferase 2,IC50,818.7,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL3431735,O=C([C@H]1CCCCN1C(=O)COc1ccccc1)N1Cc2cc(Cl)c(N3CCOCC3)cc2C1,Carnitine palmitoyltransferase 2,IC50,495.6,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL3431736,CCOc1ccc2c(c1)CN(C(=O)[C@H]1CCCCN1C(=O)COc1ccccc1)C2,Carnitine palmitoyltransferase 2,IC50,538.8,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL3431737,O=C([C@H]1CCCCN1C(=O)COc1ccccc1)N1Cc2ccc(C3CCOCC3)cc2C1,Carnitine palmitoyltransferase 2,IC50,477.3,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL3431739,O=C([C@H]1CCCCN1C(=O)COc1ccccc1)N1Cc2ccc(C3CCOC3)cc2C1,Carnitine palmitoyltransferase 2,IC50,701.2,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL3431776,O=C([C@H]1CCCCN1C(=O)COc1ccccc1)N1CCN(c2cc(Cl)cc(Cl)c2)CC1,Carnitine palmitoyltransferase 2,IC50,961,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL3431777,O=C([C@H]1CCCCN1C(=O)COc1ccccc1)N1CCN(c2cccc(Cl)c2)CC1,Carnitine palmitoyltransferase 2,IC50,290.6,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL3431801,O=C([C@H]1CCCCN1C(=O)COc1ccccc1)N1Cc2ccc(OC3CCOCC3)cc2C1,Carnitine palmitoyltransferase 2,IC50,642.6,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,active,CHEMBL3431934
CHEMBL1231507,CCCCCCCCCCCCCCCC(=O)N[C@H](CC(=O)[O-])C[N+](C)(C)C,Carnitine palmitoyltransferase 2,IC50,140,Inhibition of human CPT2,active,CHEMBL2217026
CHEMBL2216771,O=C(O)C(=O)c1ccc(OCCOc2ccc3ccccc3c2)s1,Carnitine palmitoyltransferase 2,IC50,100000,Inhibition of rat CPT2,inactive,CHEMBL2217050
CHEMBL129918,O=C(O)C(=O)c1ccc(O)cc1,Carnitine palmitoyltransferase 2,IC50,100000,Inhibition of rat CPT2,inactive,CHEMBL2217050
CHEMBL2216775,COc1ccc(-c2noc([C@H]3CCCCN3C(=O)COc3ccccc3)n2)cc1,Carnitine palmitoyltransferase 2,IC50,100000,Inhibition of rat CPT2,inactive,CHEMBL2217050
CHEMBL2216776,O=C(NCc1cccs1)c1nn(Cc2cccc(C(F)(F)F)c2)c2ccccc12,Carnitine palmitoyltransferase 2,IC50,100000,Inhibition of rat CPT2,inactive,CHEMBL2217050
CHEMBL2216778,COc1ccc(Cl)cc1S(=O)(=O)N1CC(C(=O)O)Oc2ccc(C(=O)Nc3cccc(F)c3)cc21,Carnitine palmitoyltransferase 2,IC50,100000,Inhibition of rat CPT2,inactive,CHEMBL2217050
CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,Carnitine palmitoyltransferase 2,IC50,100000,Inhibition of rat CPT2 in rat mitochondria,inactive,CHEMBL2217046
CHEMBL75880,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,Carnitine palmitoyltransferase 2,IC50,79000,Inhibition of CPT2 in rat mitochondria using [3H]carnitine by radiometric method,inactive,CHEMBL2217052
CHEMBL3431513,COc1ccc2[nH]cc(C(=O)COc3ccncc3)c2c1,Carnitine palmitoyltransferase 2,IC50,100000,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,inactive,CHEMBL3431934
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Carnitine palmitoyltransferase 2,IC50,100000,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,inactive,CHEMBL3431934
CHEMBL595,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,Carnitine palmitoyltransferase 2,IC50,100000,SUPPLEMENTARY: Inhibition of Carnitine palmitoyltransferase 2,inactive,CHEMBL3431934
