molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL177468,C(=C1\CCc2ccccc21)\c1c[nH]cn1,Cytochrome P450 11B2,IC50,41,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL178036,C(=C1/CCc2ccccc21)\c1c[nH]cn1,Cytochrome P450 11B2,IC50,11,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL367483,N#Cc1ccc2c(c1)CCC/C2=C/c1c[nH]cn1,Cytochrome P450 11B2,IC50,22.7,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL177921,N#Cc1ccc2c(c1)CC/C2=C\c1c[nH]cn1,Cytochrome P450 11B2,IC50,35.9,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL175091,N#Cc1ccc2c(c1)CC/C2=C/c1ncc[nH]1,Cytochrome P450 11B2,IC50,35.7,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL175144,Clc1ccc2c(c1)/C(=C/c1c[nH]cn1)CCC2,Cytochrome P450 11B2,IC50,47.3,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL359817,Fc1ccc2c(c1)CC/C2=C\c1c[nH]cn1,Cytochrome P450 11B2,IC50,16.7,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL362187,C(=C1\CCCc2ccccc21)\c1c[nH]cn1,Cytochrome P450 11B2,IC50,24.8,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL367719,C(=C1/CCCc2ccccc21)\c1c[nH]cn1,Cytochrome P450 11B2,IC50,9.6,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL179247,Fc1ccc2c(c1)CC/C2=C/c1c[nH]cn1,Cytochrome P450 11B2,IC50,13.9,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL177692,Clc1ccc2c(c1)CC/C2=C\c1c[nH]cn1,Cytochrome P450 11B2,IC50,88.8,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL175688,Clc1ccc2c(c1)CC/C2=C/c1c[nH]cn1,Cytochrome P450 11B2,IC50,3.7,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL177293,Brc1ccc2c(c1)CC/C2=C\c1c[nH]cn1,Cytochrome P450 11B2,IC50,92.8,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL174579,Brc1ccc2c(c1)CC/C2=C/c1c[nH]cn1,Cytochrome P450 11B2,IC50,10.3,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL9298,N#Cc1ccc(C2CCCc3cncn32)cc1,Cytochrome P450 11B2,IC50,1,In vitro inhibition of [14C]deoxycorticosterone binding to human cytochrome P450 11B2 expressed in hamster V79 MZh cells,active,CHEMBL831483
CHEMBL176118,Brc1ccc2c(c1)CC/C2=C/c1cccnc1,Cytochrome P450 11B2,IC50,171,In vitro inhibitory concentration against human CYP11B2 expressed in V79MZh hamster fibroblasts incubated with 100 nM of substrate deoxy-corticosterone in presence of the compound,active,CHEMBL828695
CHEMBL176609,COc1ccc2c(c1)CC/C2=C\c1cccnc1,Cytochrome P450 11B2,IC50,34,In vitro inhibitory concentration against human CYP11B2 expressed in V79MZh hamster fibroblasts incubated with 100 nM of substrate deoxy-corticosterone in presence of the compound,active,CHEMBL828695
CHEMBL176101,COc1ccc2c(c1)CC/C2=C/c1cccnc1,Cytochrome P450 11B2,IC50,26,In vitro inhibitory concentration against human CYP11B2 expressed in V79MZh hamster fibroblasts incubated with 100 nM of substrate deoxy-corticosterone in presence of the compound,active,CHEMBL828695
CHEMBL362441,COc1ccc2c(c1)CCC/C2=C\c1cccnc1,Cytochrome P450 11B2,IC50,57,In vitro inhibitory concentration against human CYP11B2 expressed in V79MZh hamster fibroblasts incubated with 100 nM of substrate deoxy-corticosterone in presence of the compound,active,CHEMBL828695
CHEMBL176098,COc1ccc2c(c1)CCC/C2=C/c1cccnc1,Cytochrome P450 11B2,IC50,878,In vitro inhibitory concentration against human CYP11B2 expressed in V79MZh hamster fibroblasts incubated with 100 nM of substrate deoxy-corticosterone in presence of the compound,active,CHEMBL828695
CHEMBL425323,CCOc1ccc2c(c1)CC/C2=C\c1cccnc1,Cytochrome P450 11B2,IC50,79,In vitro inhibitory concentration against human CYP11B2 expressed in V79MZh hamster fibroblasts incubated with 100 nM of substrate deoxy-corticosterone in presence of the compound,active,CHEMBL828695
CHEMBL176886,CCOc1ccc2c(c1)CC/C2=C/c1cccnc1,Cytochrome P450 11B2,IC50,248,In vitro inhibitory concentration against human CYP11B2 expressed in V79MZh hamster fibroblasts incubated with 100 nM of substrate deoxy-corticosterone in presence of the compound,active,CHEMBL828695
CHEMBL368305,Cc1cccc2c1CC/C2=C\c1cccnc1,Cytochrome P450 11B2,IC50,108,In vitro inhibitory concentration against human CYP11B2 expressed in V79MZh hamster fibroblasts incubated with 100 nM of substrate deoxy-corticosterone in presence of the compound,active,CHEMBL828695
