molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL294811,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1,Monoamine oxidase,IC50,200,Inhibition of human monoamine oxidase,active,CHEMBL731147
CHEMBL58177,C#CCN(C)[C@H](C)Cc1ccc(F)cc1,Monoamine oxidase,IC50,41.7,In vitro inhibitory activity against Monoamine oxidase in baboon brain was determined,active,CHEMBL729495
CHEMBL115314,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCBr)ccc12,Monoamine oxidase,IC50,150,Inhibition of Hamster Liver mitochondrial Monoamine oxidase.,active,CHEMBL731143
CHEMBL112165,C=CCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Monoamine oxidase,IC50,450,Inhibition of Hamster Liver mitochondrial Monoamine oxidase.,active,CHEMBL731143
CHEMBL115092,CCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Monoamine oxidase,IC50,300,Inhibition of Hamster Liver mitochondrial Monoamine oxidase.,active,CHEMBL731143
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,Monoamine oxidase,IC50,900,Inhibition of Hamster Liver mitochondrial Monoamine oxidase.,active,CHEMBL731143
CHEMBL131921,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,Monoamine oxidase,IC50,400,Inhibition of Hamster Liver mitochondrial Monoamine oxidase.,active,CHEMBL731143
CHEMBL294878,O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12,Monoamine oxidase,IC50,30,Inhibition of hamster liver mitochondrial monoamine oxidase MAO,active,CHEMBL731145
CHEMBL325841,O=c1cc(-c2ccccc2)c2ccc(O)cc2o1,Monoamine oxidase,IC50,500,Inhibition of hamster liver mitochondrial monoamine oxidase MAO,active,CHEMBL731145
CHEMBL115109,CC(C)Oc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Monoamine oxidase,IC50,200,Inhibition of hamster liver mitochondrial monoamine oxidase MAO,active,CHEMBL731145
CHEMBL276915,O=c1cc(-c2ccccc2)oc2cc(O)ccc12,Monoamine oxidase,IC50,120,Inhibition of hamster liver mitochondrial monoamine oxidase MAO,active,CHEMBL731145
