molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL2346918,CCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](CC/C(C)=C/COc1ccc2ccc(=O)oc2c1)C(C)(C)O,Mitochondrial complex I (NADH dehydrogenase),IC50,30000,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL2346917,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](CC/C(C)=C/COc1ccc2ccc(=O)oc2c1)C(C)(C)O,Mitochondrial complex I (NADH dehydrogenase),IC50,2350,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL2346916,CCCCCCCCCCCCCCCC(=O)O[C@H](CC/C(C)=C/COc1ccc2ccc(=O)oc2c1)C(C)(C)O,Mitochondrial complex I (NADH dehydrogenase),IC50,30000,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL2346915,CCCCCCCCCCC(=O)O[C@H](CC/C(C)=C/COc1ccc2ccc(=O)oc2c1)C(C)(C)O,Mitochondrial complex I (NADH dehydrogenase),IC50,3670,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL2346914,CCCCCCCC(=O)O[C@H](CC/C(C)=C/COc1ccc2ccc(=O)oc2c1)C(C)(C)O,Mitochondrial complex I (NADH dehydrogenase),IC50,3710,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL522648,CC(C)=CCOc1ccc(CCNC(=O)/C=C/c2ccccc2)cc1,Mitochondrial complex I (NADH dehydrogenase),IC50,30000,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL1098920,COc1cc(C[C@H]2CO[C@H](c3ccc(O)c(OC)c3)[C@H]2COC(=O)CC(C)C)ccc1O,Mitochondrial complex I (NADH dehydrogenase),IC50,4900,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL307341,CC(C)=CCC/C(C)=C/COc1ccc2ccc(=O)oc2c1,Mitochondrial complex I (NADH dehydrogenase),IC50,18800,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL2346913,COc1cc2ccc(=O)oc2cc1OC/C=C(\C)CCC=C(C)C,Mitochondrial complex I (NADH dehydrogenase),IC50,24200,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL2346912,C/C(=C\COc1ccc2ccc(=O)oc2c1)CC[C@@H](O)C(C)(C)Cl,Mitochondrial complex I (NADH dehydrogenase),IC50,11100,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL2346911,C=C(C)[C@H](O)CC/C(C)=C/COc1ccc2ccc(=O)oc2c1,Mitochondrial complex I (NADH dehydrogenase),IC50,21800,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL2346910,COC(C)(C)[C@H](O)CC/C(C)=C/COc1ccc2ccc(=O)oc2c1,Mitochondrial complex I (NADH dehydrogenase),IC50,30000,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
CHEMBL1078441,C/C(=C\COc1ccc2ccc(=O)oc2c1)CC[C@@H](O)C(C)(C)O,Mitochondrial complex I (NADH dehydrogenase),IC50,30000,"Inhibition of mitochondrial ETC complex 1 in human T47D cells assessed as inhibition of 1,10-phenanthroline-induced HIF1 activation incubated for 30 mins prior to 1,10-phenanthroline-challenge measured after 16 hrs by luciferase reporter assay",intermediate,CHEMBL2353250
