molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1449627,O=C(Nc1ccc2oc(-c3ccccc3)nc2c1)c1cccs1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,200,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",active,CHEMBL1738512
CHEMBL60718,Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)CCl)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,640,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",active,CHEMBL1738512
CHEMBL1376392,CCCOc1ccccc1NC(=O)/C=C/C(N)=O,Mitochondrial import inner membrane translocase subunit TIM10,IC50,870,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
CHEMBL1519298,CCOC(=O)c1ccc(N2C(=O)C=CC2=O)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,410,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
CHEMBL3199050,CC1=C/C(=N\OS(=O)(=O)c2ccccc2)C=CC1=O,Mitochondrial import inner membrane translocase subunit TIM10,IC50,260,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
CHEMBL1485605,Cc1cc(C)cc(N2C(=O)CC(Sc3nnnn3-c3ccccc3)C2=O)c1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,690,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
CHEMBL1515506,Cc1ccccc1/C=C/C(=O)c1ccc([N+](=O)[O-])o1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,660,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
CHEMBL1986259,CC1=C/C(=N\OS(=O)(=O)c2ccccc2)C(C)=CC1=O,Mitochondrial import inner membrane translocase subunit TIM10,IC50,200,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
CHEMBL1505636,N=C(Cc1ccc(Cl)cc1Cl)NOC(=O)Cc1ccc(Cl)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,740,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
CHEMBL1369392,COc1ccc2cc3cc(C(=O)NCCN4CCc5ccccc5C4)oc3nc2c1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,200,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
CHEMBL1353110,COc1ccc(C(=O)O/N=C(\N)Cc2ccc(Cl)c(Cl)c2)cc1OC,Mitochondrial import inner membrane translocase subunit TIM10,IC50,800,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
CHEMBL1421736,N=C(Cc1ccc(Cl)cc1)NOC(=O)c1ccc2ccccc2c1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,260,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
CHEMBL51085,O=c1c2ccccc2[se]n1-c1ccccc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,580,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738438
