molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL266118,O=[N+]([O-])c1cccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)c1,Mitochondrial complex V; ATP synthase,IC50,423,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL267942,O=S(=O)(c1ccc(F)cc1)N1Cc2ccccc2N(Cc2c[nH]cn2)C(CCc2ccccc2)C1,Mitochondrial complex V; ATP synthase,IC50,221,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL8247,N#Cc1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)cc1,Mitochondrial complex V; ATP synthase,IC50,255,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL8153,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1CCc1ccccc1,Mitochondrial complex V; ATP synthase,IC50,77,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL8414,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1CCc1ccccc1,Mitochondrial complex V; ATP synthase,IC50,22,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL266556,O=S(=O)(N1Cc2ccccc2N(Cc2c[nH]cn2)C(CCc2ccccc2)C1)C(F)(F)F,Mitochondrial complex V; ATP synthase,IC50,77,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL8306,O=S(=O)(c1ccc(O)cc1)N1Cc2ccccc2N(Cc2c[nH]cn2)C(CCc2ccccc2)C1,Mitochondrial complex V; ATP synthase,IC50,667,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL8407,O=S(=O)(c1cccc2ccccc12)N1Cc2ccccc2N(Cc2c[nH]cn2)C(CCc2ccccc2)C1,Mitochondrial complex V; ATP synthase,IC50,338,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL412904,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(F)cc2)CC1CCc1ccccc1,Mitochondrial complex V; ATP synthase,IC50,151,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL8406,N#Cc1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)c(Cl)c1,Mitochondrial complex V; ATP synthase,IC50,939,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL8366,COc1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)cc1,Mitochondrial complex V; ATP synthase,IC50,77,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL8332,CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)cc1,Mitochondrial complex V; ATP synthase,IC50,8,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL8003,O=S(=O)(c1cc(Cl)ccc1Cl)N1Cc2ccccc2N(Cc2c[nH]cn2)C(CCc2ccccc2)C1,Mitochondrial complex V; ATP synthase,IC50,158,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL266958,O=S(=O)(c1cccs1)N1Cc2ccccc2N(Cc2c[nH]cn2)C(CCc2ccccc2)C1,Mitochondrial complex V; ATP synthase,IC50,636,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
CHEMBL269778,O=S(=O)(c1ccccc1)N1Cc2ccccc2N(Cc2c[nH]cn2)C(CCc2ccccc2)C1,Mitochondrial complex V; ATP synthase,IC50,282,Inhibitory activity against bovine mitochondrial F1F0-ATP hydrolase,active,CHEMBL679205
