molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL352106,CCCCCCCCCCC[C@H]1CC[C@H]([C@H]2CC[C@H](CCCCCCCCCCCCCC3=C[C@H](C)OC3=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,85,Inhibitory concentration needed to halve the control NADH oxidase activity in bovine heart submitochondrial particles (SMP),active,CHEMBL749251
CHEMBL62800,CCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H]2CC[C@H]([C@H](O)CCCCCCCCCCCCC3=C[C@H](C)OC3=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,0.75,Inhibitory concentration needed to halve the control NADH oxidase activity in bovine heart submitochondrial particles (SMP),active,CHEMBL749251
CHEMBL166222,CCCCCCCCCCC[C@H]1CC[C@H]([C@H]2CC[C@H]([C@H](O)CCCCCCCCCCCCC3=C[C@H](C)OC3=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,3.1,Inhibitory concentration needed to halve the control NADH oxidase activity in bovine heart submitochondrial particles (SMP),active,CHEMBL749251
CHEMBL164819,CCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H]2CC[C@H](CCCCCCCCCCCCCC3=C[C@H](C)OC3=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,2.7,Inhibitory concentration needed to halve the control NADH oxidase activity in bovine heart submitochondrial particles (SMP),active,CHEMBL749251
CHEMBL131124,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H]2CC(CC(C)=O)C(=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,3.3,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL133015,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC/C(CCCCC[C@@H](O)CC2=C[C@H](C)OC2=O)=N\O)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,2.7,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL133177,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCCC(=O)CCCCC[C@@H]2CC(CC(C)=O)C(=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,0.7,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL132607,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H](O)CC2C[C@H](C)OC2=O)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,3.6,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL131506,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H](O)CC2(O)C(=O)O[C@@H](C)C2O)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,21.8,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL131462,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H]2CC(CC(C)O)C(=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,5.8,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL13710,CCCCCCCCCC[C@H](O)[C@H]1CC[C@@H]([C@@H]2CC[C@H]([C@H](O)CCCCCCCCCC[C@@H](O)CC3=C[C@@H](C)OC3=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,0.58,Concentration required for the inhibition of NADH oxidase in submitochondrial particles from beef heart,active,CHEMBL749249
CHEMBL268185,CCCCCCCCCC[C@H](O)[C@H]1CC[C@@H]([C@@H]2CC[C@H]([C@H](O)CCCCCCCC[C@@H](O)CC3=C[C@@H](C)OC3=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,0.33,Concentration required for the inhibition of NADH oxidase in submitochondrial particles from beef heart,active,CHEMBL749249
CHEMBL13700,CCCCCCCCCC[C@H](O)[C@H]1CC[C@@H]([C@@H]2CC[C@H]([C@H](O)CCCCCCCCCCCCC3=C[C@@H](C)OC3=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,0.58,Concentration required for the inhibition of NADH oxidase in submitochondrial particles from beef heart,active,CHEMBL749249
CHEMBL429023,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,5.1,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL131461,CCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H]2CC(C/C(C)=N/O)C(=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,1.9,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL134189,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCCC(=O)CCCCC[C@@H](O)CC2=C[C@H](C)OC2=O)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,0.8,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL439797,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCC[C@@H](O)CCCCC[C@@H](O)CC2=C[C@H](C)OC2=O)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,2.3,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL133297,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@@H]([C@@H](O)CCCCC(CCCCC[C@@H](O)CC2=C[C@H](C)OC2=O)NCCc2ccc(OC)c(OCc3ccccc3)c2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,150,Inhibitory activity against NADH oxidase in beef heart mitochondrial complex I.,active,CHEMBL749247
CHEMBL75627,CCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H]2CC[C@H]([C@H](O)CCCCCCCCCCCCc3c(C)c(OC)c(OC)c(OC)c3OC)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,280,Inhibition of complex I activity was determined by NADH oxidase assay using bovine heart submitochondrial particles.,active,CHEMBL749246
CHEMBL80522,CCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H]2CC[C@H]([C@H](O)CCCCCCCCCCCCC3=C(C)C(=O)C(OC)=C(OC)C3=O)O2)O1,Mitochondrial complex I; NADH oxidoreductase,IC50,1.2,Inhibition of complex I activity was determined by NADH oxidase assay using bovine heart submitochondrial particles.,active,CHEMBL749246
