molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL261273,Cc1ccccc1OCC(=O)Nc1ccc(-c2nc3cc([N+](=O)[O-])ccc3o2)cc1,N-acetylglutamate synthase,IC50,940,inhibition of human CEPT assessed as cholesteryl ester transfer by fluorescence transfer assay,active,CHEMBL1070006
CHEMBL260546,Cc1ccccc1OCC(=O)Nc1ccc(-c2nc3cc(C#N)ccc3o2)cc1,N-acetylglutamate synthase,IC50,130,inhibition of human CEPT assessed as cholesteryl ester transfer by fluorescence transfer assay,active,CHEMBL1070006
CHEMBL596131,Cc1ccccc1OCC(=O)Nc1ccc(-c2nc3ccc(C#N)cc3o2)cc1,N-acetylglutamate synthase,IC50,410,inhibition of human CEPT assessed as cholesteryl ester transfer by fluorescence transfer assay,active,CHEMBL1070006
CHEMBL411258,COc1ccc2oc(-c3ccc(NC(=O)COc4ccccc4C)cc3)nc2c1,N-acetylglutamate synthase,IC50,840,inhibition of human CEPT assessed as cholesteryl ester transfer by fluorescence transfer assay,active,CHEMBL1070006
CHEMBL606983,Cc1ccccc1OCC(=O)Nc1ccc(-c2nc3cc(Br)cc(C)c3o2)cc1,N-acetylglutamate synthase,IC50,510,inhibition of human CEPT assessed as cholesteryl ester transfer by fluorescence transfer assay,active,CHEMBL1070006
CHEMBL596130,Cc1ccccc1OCC(=O)Nc1ccc(-c2nc3cc(C#N)cc(C)c3o2)cc1,N-acetylglutamate synthase,IC50,60,inhibition of human CEPT assessed as cholesteryl ester transfer by fluorescence transfer assay,active,CHEMBL1070006
CHEMBL594978,Cc1ccccc1OCC(=O)Nc1ccc(-c2nc3cc(C#N)cc(C#N)c3o2)cc1,N-acetylglutamate synthase,IC50,270,inhibition of human CEPT assessed as cholesteryl ester transfer by fluorescence transfer assay,active,CHEMBL1070006
CHEMBL407147,Cc1ccccc1OCC(=O)Nc1ccc(-c2nc3cc(Cl)cc([N+](=O)[O-])c3o2)cc1,N-acetylglutamate synthase,IC50,570,inhibition of human CEPT assessed as cholesteryl ester transfer by fluorescence transfer assay,active,CHEMBL1070006
CHEMBL594182,Cc1ccccc1OCC(=O)Nc1ccc(-c2nc3cc(Br)cc(F)c3o2)cc1,N-acetylglutamate synthase,IC50,910,inhibition of human CEPT assessed as cholesteryl ester transfer by fluorescence transfer assay,active,CHEMBL1070006
CHEMBL606349,Cc1ccccc1OCC(=O)Nc1ccc(-c2nc3cc(C#N)cc(F)c3o2)cc1,N-acetylglutamate synthase,IC50,62,inhibition of human CEPT assessed as cholesteryl ester transfer by fluorescence transfer assay,active,CHEMBL1070006
