molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1449627,O=C(Nc1ccc2oc(-c3ccccc3)nc2c1)c1cccs1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,390,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID504657, AID504672]",active,CHEMBL1738508
CHEMBL1519298,CCOC(=O)c1ccc(N2C(=O)C=CC2=O)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,480,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent tim23-1 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738640
CHEMBL3199050,CC1=C/C(=N\OS(=O)(=O)c2ccccc2)C=CC1=O,Mitochondrial import inner membrane translocase subunit TIM23,IC50,270,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent tim23-1 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738640
CHEMBL1986259,CC1=C/C(=N\OS(=O)(=O)c2ccccc2)C(C)=CC1=O,Mitochondrial import inner membrane translocase subunit TIM23,IC50,200,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent tim23-1 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738640
CHEMBL1421736,N=C(Cc1ccc(Cl)cc1)NOC(=O)c1ccc2ccccc2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,380,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent tim23-1 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738640
CHEMBL51085,O=c1c2ccccc2[se]n1-c1ccccc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,880,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent tim23-1 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",active,CHEMBL1738640
CHEMBL1985130,O=C(O/N=C(/c1ccc(Br)cc1)N1CCOCC1)c1ccccc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,787,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,active,CHEMBL1964046
CHEMBL1992176,CC1(C)C=Cc2cc(/C(N)=N/OC(=O)c3ccccc3)ccc2O1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,617,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,active,CHEMBL1964046
CHEMBL1309497,O=C(Nc1ccc2[nH]c(-c3ccco3)nc2c1)c1cccs1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,459,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,active,CHEMBL1964046
CHEMBL2003655,N/C(=N\OC(=O)c1ccc(Cl)cc1)c1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,570,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,active,CHEMBL1964046
CHEMBL1493575,O=C1NN=C(c2ccc(Cl)cc2)CC1c1cccc(Br)c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID504657, AID504672]",inactive,CHEMBL1738508
CHEMBL1565806,N=C(NOC(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent tim23-1 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",inactive,CHEMBL1738640
CHEMBL1581799,Cc1ccc(OCC(=O)O/N=C(\N)Cc2ccc(Cl)cc2)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,61900,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent tim23-1 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",inactive,CHEMBL1738640
CHEMBL1561256,CC(C)CN(CC(C)C)C(S)=Nc1ccc(Cl)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,55200,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent tim23-1 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",inactive,CHEMBL1738640
CHEMBL1330113,Cl.N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent tim23-1 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",inactive,CHEMBL1738640
CHEMBL1985596,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccccc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1964510,Cc1ccc2nc(CSc3ncc(C(F)(F)F)cc3Cl)cc(=O)n2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,67370,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
