molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL3407866,O=C(O)c1cc(-c2ccc(Cl)c(Cl)c2)ncn1,Kynurenine 3-monooxygenase,IC50,6,Inhibition of mouse KMO assessed as conversion of kynurenine to 3-hydroxykynurenine by LC-MS/MS analysis,active,CHEMBL3413306
CHEMBL3407905,O=C(O)c1cc(-c2ccc(F)c(F)c2)ncn1,Kynurenine 3-monooxygenase,IC50,1.5,Inhibition of mouse KMO assessed as conversion of kynurenine to 3-hydroxykynurenine by LC-MS/MS analysis,active,CHEMBL3413306
CHEMBL3407913,Cc1ccc(-c2cc(C(=O)O)ncn2)cc1Cl,Kynurenine 3-monooxygenase,IC50,6.2,Inhibition of mouse KMO assessed as conversion of kynurenine to 3-hydroxykynurenine by LC-MS/MS analysis,active,CHEMBL3413306
CHEMBL3407919,O=C(O)c1cc(-c2ccc(OC(F)(F)F)c(Cl)c2)ncn1,Kynurenine 3-monooxygenase,IC50,11,Inhibition of mouse KMO assessed as conversion of kynurenine to 3-hydroxykynurenine by LC-MS/MS analysis,active,CHEMBL3413306
CHEMBL3407922,O=C(O)c1cc(-c2ccc(OC3CC3)c(Cl)c2)ncn1,Kynurenine 3-monooxygenase,IC50,5.1,Inhibition of mouse KMO assessed as conversion of kynurenine to 3-hydroxykynurenine by LC-MS/MS analysis,active,CHEMBL3413306
CHEMBL23983,NC(CC(=O)c1cccc([N+](=O)[O-])c1)C(=O)O,Kynurenine 3-monooxygenase,IC50,900,Inhibition of mouse KMO,active,CHEMBL3414281
CHEMBL4745247,Cc1ccc(S(=O)(=O)Nc2ncc(-c3cccc([N+](=O)[O-])c3)s2)cc1,Kynurenine 3-monooxygenase,IC50,33.8,Inhibition of mouse liver mitochondrial KMO by measuring the 3-HK metabolite formation using L-kynurenine as substrate preincubated for 5 mins followed by substate addition and measured after 30 mins by LC-MS/MS analysis,active,CHEMBL4679436
CHEMBL4740126,O=C(O)c1cc(-c2ccc(Cl)c(OC3CC3)c2)ncn1,Kynurenine 3-monooxygenase,IC50,8.7,Inhibition of mouse liver mitochondrial KMO by measuring the 3-HK metabolite formation using L-kynurenine as substrate preincubated for 5 mins followed by substate addition and measured after 30 mins by LC-MS/MS analysis,active,CHEMBL4679436
CHEMBL4764931,CN(C)c1cccc(S(=O)(=O)Nc2ccc(-c3ccccc3N3CCCC3)nn2)c1,Kynurenine 3-monooxygenase,IC50,3.3,Inhibition of mouse liver mitochondrial KMO by measuring the 3-HK metabolite formation using L-kynurenine as substrate preincubated for 5 mins followed by substate addition and measured after 30 mins by LC-MS/MS analysis,active,CHEMBL4679436
CHEMBL4776854,CCc1ccccc1-c1ccc(NS(=O)(=O)c2ccc(C)cc2)nn1,Kynurenine 3-monooxygenase,IC50,29.2,Inhibition of mouse liver mitochondrial KMO by measuring the 3-HK metabolite formation using L-kynurenine as substrate preincubated for 5 mins followed by substate addition and measured after 30 mins by LC-MS/MS analysis,active,CHEMBL4679436
