molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL3360255,Cc1ccc(S(=O)(=O)Nc2ccc(O)cc2)cc1,Cytochrome b-c1 complex subunit 7,IC50,200000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360256,CCc1ccc(S(=O)(=O)Nc2ccc(O)cc2)cc1,Cytochrome b-c1 complex subunit 7,IC50,200000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL188279,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(O)cc2)cc1,Cytochrome b-c1 complex subunit 7,IC50,50000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360257,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(O)c3ccccc23)cc1,Cytochrome b-c1 complex subunit 7,IC50,20000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360258,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(O)c3ncccc23)cc1,Cytochrome b-c1 complex subunit 7,IC50,20000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360259,O=S(=O)(Nc1ccc(O)cc1)c1ccc(-c2ccccc2)cc1,Cytochrome b-c1 complex subunit 7,IC50,75000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360260,O=S(=O)(Nc1ccc(O)c(F)c1)c1ccc(-c2ccccc2)cc1,Cytochrome b-c1 complex subunit 7,IC50,200000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360261,O=S(=O)(Nc1ccc(O)c(Cl)c1)c1ccc(-c2ccccc2)cc1,Cytochrome b-c1 complex subunit 7,IC50,200000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360262,O=C(O)c1cc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)ccc1O,Cytochrome b-c1 complex subunit 7,IC50,100000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360263,O=S(=O)(Nc1ccc(O)c2ccccc12)c1ccc(-c2ccccc2)cc1,Cytochrome b-c1 complex subunit 7,IC50,200000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360264,O=S(=O)(Nc1cccc2c(O)cccc12)c1ccc(-c2ccccc2)cc1,Cytochrome b-c1 complex subunit 7,IC50,200000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360268,O=C1Sc2cc(S(=O)(=O)Nc3ccc(O)c4ccccc34)cc3cccc1c23,Cytochrome b-c1 complex subunit 7,IC50,100000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,inactive,CHEMBL3387788
CHEMBL3360267,O=S(=O)(Nc1ccc([O-])cc1)c1ccc(-c2ccccc2)cc1.[K+],Cytochrome b-c1 complex subunit 7,IC50,5000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,intermediate,CHEMBL3387788
CHEMBL185823,CC(C)(C)c1ccc(S(=O)(=O)Nc2cccc(O)c2)cc1,Cytochrome b-c1 complex subunit 7,IC50,8000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,intermediate,CHEMBL3387788
CHEMBL186268,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccccc2O)cc1,Cytochrome b-c1 complex subunit 7,IC50,8000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,intermediate,CHEMBL3387788
CHEMBL1530310,O=S(=O)(Nc1ccc(O)cc1)c1cccc2cccnc12,Cytochrome b-c1 complex subunit 7,IC50,20000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,intermediate,CHEMBL3387788
CHEMBL3360266,O=S(=O)(Nc1ccc(O)cc1)c1ccc2ccccc2c1,Cytochrome b-c1 complex subunit 7,IC50,20000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,intermediate,CHEMBL3387788
CHEMBL3360265,O=S(=O)(Nc1cccc2cccc(O)c12)c1ccc(-c2ccccc2)cc1,Cytochrome b-c1 complex subunit 7,IC50,20000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,intermediate,CHEMBL3387788
CHEMBL2322452,O=S(=O)(Nc1cccc2ccc(O)cc12)c1ccc(-c2ccccc2)cc1,Cytochrome b-c1 complex subunit 7,IC50,20000,Modulation of UQCRB in human HepG2 cells assessed as inhibition of HIF-1alpha for 4 hrs under 1%O2 by Western blot analysis,intermediate,CHEMBL3387788
