molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL3589013,O=C1c2ccccc2-c2nc3nonc3nc21,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,IC50,40,"Inhibition Assay: Mtb PDH (Lpd+DlaT+AceE) is provided by Dr. Bryk Ruslana. The assay was performed in a manner similar to that described in Bryk et al., Biochemistry (2010) 49:1616-1627 and modified for an online robotics screening system.A solution containing PDH (Lpd=15 μM; DlaT=30 μM; AceE=15 μM) was diluted 2-fold in 100 mM of potassium phosphate buffer (pH 7.0) for the assay. Another reaction solution containing 50 mM potassium phosphate buffer (pH 7.0), 200 μM TPP, 2 mM Pyruvate, 200 μM CoA, 1 mM MgCl2, 1 mM NAD+ was prepared. 5 μL/well of PDH solution was dispensed into 1536-well black plates. Next, 50 nL of each test compound (1 mM dissolved in DMSO) was added into each well. After 30 minutes of incubation, 5 μL/well of reaction solution was added. At the 30th minutes of the reaction, the florescence signal (excitation 360 nm and emission 460 nm) was obtained by Viewlux reader (PerkinElmer).",active,CHEMBL3887424
CHEMBL3905781,C=CCOCc1ccccc1,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,IC50,760,"Inhibition Assay: Mtb PDH (Lpd+DlaT+AceE) is provided by Dr. Bryk Ruslana. The assay was performed in a manner similar to that described in Bryk et al., Biochemistry (2010) 49:1616-1627 and modified for an online robotics screening system.A solution containing PDH (Lpd=15 μM; DlaT=30 μM; AceE=15 μM) was diluted 2-fold in 100 mM of potassium phosphate buffer (pH 7.0) for the assay. Another reaction solution containing 50 mM potassium phosphate buffer (pH 7.0), 200 μM TPP, 2 mM Pyruvate, 200 μM CoA, 1 mM MgCl2, 1 mM NAD+ was prepared. 5 μL/well of PDH solution was dispensed into 1536-well black plates. Next, 50 nL of each test compound (1 mM dissolved in DMSO) was added into each well. After 30 minutes of incubation, 5 μL/well of reaction solution was added. At the 30th minutes of the reaction, the florescence signal (excitation 360 nm and emission 460 nm) was obtained by Viewlux reader (PerkinElmer).",active,CHEMBL3887424
CHEMBL3039201,O=C(OC[C@H]1O[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,IC50,450,"Inhibition Assay: Mtb PDH (Lpd+DlaT+AceE) is provided by Dr. Bryk Ruslana. The assay was performed in a manner similar to that described in Bryk et al., Biochemistry (2010) 49:1616-1627 and modified for an online robotics screening system.A solution containing PDH (Lpd=15 μM; DlaT=30 μM; AceE=15 μM) was diluted 2-fold in 100 mM of potassium phosphate buffer (pH 7.0) for the assay. Another reaction solution containing 50 mM potassium phosphate buffer (pH 7.0), 200 μM TPP, 2 mM Pyruvate, 200 μM CoA, 1 mM MgCl2, 1 mM NAD+ was prepared. 5 μL/well of PDH solution was dispensed into 1536-well black plates. Next, 50 nL of each test compound (1 mM dissolved in DMSO) was added into each well. After 30 minutes of incubation, 5 μL/well of reaction solution was added. At the 30th minutes of the reaction, the florescence signal (excitation 360 nm and emission 460 nm) was obtained by Viewlux reader (PerkinElmer).",active,CHEMBL3887424
CHEMBL51858,COc1ccc(CCI)cc1,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,IC50,40,"Inhibition Assay: Mtb PDH (Lpd+DlaT+AceE) is provided by Dr. Bryk Ruslana. The assay was performed in a manner similar to that described in Bryk et al., Biochemistry (2010) 49:1616-1627 and modified for an online robotics screening system.A solution containing PDH (Lpd=15 μM; DlaT=30 μM; AceE=15 μM) was diluted 2-fold in 100 mM of potassium phosphate buffer (pH 7.0) for the assay. Another reaction solution containing 50 mM potassium phosphate buffer (pH 7.0), 200 μM TPP, 2 mM Pyruvate, 200 μM CoA, 1 mM MgCl2, 1 mM NAD+ was prepared. 5 μL/well of PDH solution was dispensed into 1536-well black plates. Next, 50 nL of each test compound (1 mM dissolved in DMSO) was added into each well. After 30 minutes of incubation, 5 μL/well of reaction solution was added. At the 30th minutes of the reaction, the florescence signal (excitation 360 nm and emission 460 nm) was obtained by Viewlux reader (PerkinElmer).",active,CHEMBL3887424
CHEMBL3933712,c1ccc2c(c1)ccn1c3ccccc3cc21,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,IC50,140,"Inhibition Assay: Mtb PDH (Lpd+DlaT+AceE) is provided by Dr. Bryk Ruslana. The assay was performed in a manner similar to that described in Bryk et al., Biochemistry (2010) 49:1616-1627 and modified for an online robotics screening system.A solution containing PDH (Lpd=15 μM; DlaT=30 μM; AceE=15 μM) was diluted 2-fold in 100 mM of potassium phosphate buffer (pH 7.0) for the assay. Another reaction solution containing 50 mM potassium phosphate buffer (pH 7.0), 200 μM TPP, 2 mM Pyruvate, 200 μM CoA, 1 mM MgCl2, 1 mM NAD+ was prepared. 5 μL/well of PDH solution was dispensed into 1536-well black plates. Next, 50 nL of each test compound (1 mM dissolved in DMSO) was added into each well. After 30 minutes of incubation, 5 μL/well of reaction solution was added. At the 30th minutes of the reaction, the florescence signal (excitation 360 nm and emission 460 nm) was obtained by Viewlux reader (PerkinElmer).",active,CHEMBL3887424
CHEMBL3978318,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2cc(Br)cnc2N)cc1,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,IC50,674,"Inhibition Assay: Mtb PDH (Lpd+DlaT+AceE) is provided by Dr. Bryk Ruslana. The assay was performed in a manner similar to that described in Bryk et al., Biochemistry (2010) 49:1616-1627 and modified for an online robotics screening system.A solution containing PDH (Lpd=15 μM; DlaT=30 μM; AceE=15 μM) was diluted 2-fold in 100 mM of potassium phosphate buffer (pH 7.0) for the assay. Another reaction solution containing 50 mM potassium phosphate buffer (pH 7.0), 200 μM TPP, 2 mM Pyruvate, 200 μM CoA, 1 mM MgCl2, 1 mM NAD+ was prepared. 5 μL/well of PDH solution was dispensed into 1536-well black plates. Next, 50 nL of each test compound (1 mM dissolved in DMSO) was added into each well. After 30 minutes of incubation, 5 μL/well of reaction solution was added. At the 30th minutes of the reaction, the florescence signal (excitation 360 nm and emission 460 nm) was obtained by Viewlux reader (PerkinElmer).",active,CHEMBL3887424
CHEMBL1527391,Cn1nc(-c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,IC50,40,"Inhibition Assay: Mtb PDH (Lpd+DlaT+AceE) is provided by Dr. Bryk Ruslana. The assay was performed in a manner similar to that described in Bryk et al., Biochemistry (2010) 49:1616-1627 and modified for an online robotics screening system.A solution containing PDH (Lpd=15 μM; DlaT=30 μM; AceE=15 μM) was diluted 2-fold in 100 mM of potassium phosphate buffer (pH 7.0) for the assay. Another reaction solution containing 50 mM potassium phosphate buffer (pH 7.0), 200 μM TPP, 2 mM Pyruvate, 200 μM CoA, 1 mM MgCl2, 1 mM NAD+ was prepared. 5 μL/well of PDH solution was dispensed into 1536-well black plates. Next, 50 nL of each test compound (1 mM dissolved in DMSO) was added into each well. After 30 minutes of incubation, 5 μL/well of reaction solution was added. At the 30th minutes of the reaction, the florescence signal (excitation 360 nm and emission 460 nm) was obtained by Viewlux reader (PerkinElmer).",active,CHEMBL3887424
CHEMBL1488035,CCn1nc(-c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,IC50,40,"Inhibition Assay: Mtb PDH (Lpd+DlaT+AceE) is provided by Dr. Bryk Ruslana. The assay was performed in a manner similar to that described in Bryk et al., Biochemistry (2010) 49:1616-1627 and modified for an online robotics screening system.A solution containing PDH (Lpd=15 μM; DlaT=30 μM; AceE=15 μM) was diluted 2-fold in 100 mM of potassium phosphate buffer (pH 7.0) for the assay. Another reaction solution containing 50 mM potassium phosphate buffer (pH 7.0), 200 μM TPP, 2 mM Pyruvate, 200 μM CoA, 1 mM MgCl2, 1 mM NAD+ was prepared. 5 μL/well of PDH solution was dispensed into 1536-well black plates. Next, 50 nL of each test compound (1 mM dissolved in DMSO) was added into each well. After 30 minutes of incubation, 5 μL/well of reaction solution was added. At the 30th minutes of the reaction, the florescence signal (excitation 360 nm and emission 460 nm) was obtained by Viewlux reader (PerkinElmer).",active,CHEMBL3887424
CHEMBL1334062,Cn1nc(-c2ccc(Cl)cc2)nc2c(=O)n(C)c(=O)nc1-2,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,IC50,40,"Inhibition Assay: Mtb PDH (Lpd+DlaT+AceE) is provided by Dr. Bryk Ruslana. The assay was performed in a manner similar to that described in Bryk et al., Biochemistry (2010) 49:1616-1627 and modified for an online robotics screening system.A solution containing PDH (Lpd=15 μM; DlaT=30 μM; AceE=15 μM) was diluted 2-fold in 100 mM of potassium phosphate buffer (pH 7.0) for the assay. Another reaction solution containing 50 mM potassium phosphate buffer (pH 7.0), 200 μM TPP, 2 mM Pyruvate, 200 μM CoA, 1 mM MgCl2, 1 mM NAD+ was prepared. 5 μL/well of PDH solution was dispensed into 1536-well black plates. Next, 50 nL of each test compound (1 mM dissolved in DMSO) was added into each well. After 30 minutes of incubation, 5 μL/well of reaction solution was added. At the 30th minutes of the reaction, the florescence signal (excitation 360 nm and emission 460 nm) was obtained by Viewlux reader (PerkinElmer).",active,CHEMBL3887424
CHEMBL1098317,Cn1nc(-c2ccc(Cl)c(Cl)c2)nc2c(=O)n(C)c(=O)nc1-2,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,IC50,40,"Inhibition Assay: Mtb PDH (Lpd+DlaT+AceE) is provided by Dr. Bryk Ruslana. The assay was performed in a manner similar to that described in Bryk et al., Biochemistry (2010) 49:1616-1627 and modified for an online robotics screening system.A solution containing PDH (Lpd=15 μM; DlaT=30 μM; AceE=15 μM) was diluted 2-fold in 100 mM of potassium phosphate buffer (pH 7.0) for the assay. Another reaction solution containing 50 mM potassium phosphate buffer (pH 7.0), 200 μM TPP, 2 mM Pyruvate, 200 μM CoA, 1 mM MgCl2, 1 mM NAD+ was prepared. 5 μL/well of PDH solution was dispensed into 1536-well black plates. Next, 50 nL of each test compound (1 mM dissolved in DMSO) was added into each well. After 30 minutes of incubation, 5 μL/well of reaction solution was added. At the 30th minutes of the reaction, the florescence signal (excitation 360 nm and emission 460 nm) was obtained by Viewlux reader (PerkinElmer).",active,CHEMBL3887424
