molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL4207897,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cc(F)cc(F)c2)[C@@]2(C(=O)NC3CC(F)(F)C3)CCc3ccccc32)c1,"Isocitrate dehydrogenase [NADP], mitochondrial",IC50,100,Inhibition of IDH2 R140Q mutant (unknown origin) using alpha-ketoglutarate as substrate pretreated for 60 mins followed by substrate addition measured after 60 mins by resazurin dye based fluorescence assay,active,CHEMBL4180682
CHEMBL4212544,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cccc(F)c2)[C@@]2(C(=O)NC3CC(F)(F)C3)CCc3cc(Cl)ccc32)c1,"Isocitrate dehydrogenase [NADP], mitochondrial",IC50,100,Inhibition of IDH2 R140Q mutant (unknown origin) using alpha-ketoglutarate as substrate pretreated for 60 mins followed by substrate addition measured after 60 mins by resazurin dye based fluorescence assay,active,CHEMBL4180682
CHEMBL4292293,FC(F)(F)c1cccc(-c2nc(NCC3CC3)nc(NCC3CC3)n2)n1,"Isocitrate dehydrogenase [NADP], mitochondrial",IC50,50,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",active,CHEMBL4257014
CHEMBL4278828,C[C@@H](Nc1nc(N[C@H](C)C2CC2)nc(-c2cccc(C(F)(F)F)n2)n1)C1CC1,"Isocitrate dehydrogenase [NADP], mitochondrial",IC50,50,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",active,CHEMBL4257014
CHEMBL4284907,CC(C)(C)Nc1nc(NC(C)(C)C)nc(-c2cccc(C(F)(F)F)n2)n1,"Isocitrate dehydrogenase [NADP], mitochondrial",IC50,50,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",active,CHEMBL4257014
CHEMBL4287094,FC(F)(F)c1cccc(-c2nc(NCC3CCC3)nc(NCC3CCC3)n2)n1,"Isocitrate dehydrogenase [NADP], mitochondrial",IC50,50,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",active,CHEMBL4257014
CHEMBL4290152,COc1ccc(F)c(-c2nc(N[C@H](C)C3CC3)nc(N[C@H](C)C3CC3)n2)c1,"Isocitrate dehydrogenase [NADP], mitochondrial",IC50,50,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",active,CHEMBL4257014
CHEMBL4291180,FC(F)(F)c1cccc(-c2nc(NC3CCC3)nc(NC3CCC3)n2)n1,"Isocitrate dehydrogenase [NADP], mitochondrial",IC50,50,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",active,CHEMBL4257014
CHEMBL4280581,C[C@@H](Nc1nc(NCC(C)(C)O)nc(-c2cccc(C(F)(F)F)n2)n1)C1CC1,"Isocitrate dehydrogenase [NADP], mitochondrial",IC50,50,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",active,CHEMBL4257014
CHEMBL4281641,C[C@@H](Nc1nc(N[C@H](C)C2CC2)nc(-c2cccc(O)c2)n1)C1CC1,"Isocitrate dehydrogenase [NADP], mitochondrial",IC50,50,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",active,CHEMBL4257014
