molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Cytochrome c oxidase subunit 2,IC50,610,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,active,CHEMBL4133558
CHEMBL4754218,Cc1ccc(C(=O)CC2CC(=O)N(c3ccc(S(N)(=O)=O)cc3)C2=O)cc1,Cytochrome c oxidase subunit 2,IC50,980,Inhibition of recombinant human COX2 expressed in baculovirus infected Sf21 cells using arachidonic acid as substrate preincubated for 5 mins followed by substrate addition and measured after 5 mins by UV-visible spectrophotometric method,active,CHEMBL4722423
CHEMBL865,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,Cytochrome c oxidase subunit 1,IC50,96200,Inhibition of ovine cyclooxygenase 1,inactive,CHEMBL967598
CHEMBL254418,Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)NO)cc1.O,Cytochrome c oxidase subunit 1,IC50,157200,Inhibition of ovine cyclooxygenase 1,inactive,CHEMBL967598
CHEMBL1254872,[N-]=[N+]=Nc1ccc(-c2cc(C(=O)O)c3cccc(C(=O)c4ccccc4)c3n2)cc1,Cytochrome c oxidase subunit 1,IC50,65550,Inhibition of sheep COX1,inactive,CHEMBL1252214
CHEMBL1254873,[N-]=[N+]=Nc1ccc(-c2cc(C(=O)O)c3cc(C(=O)c4ccccc4)ccc3n2)cc1,Cytochrome c oxidase subunit 1,IC50,100000,Inhibition of sheep COX1,inactive,CHEMBL1252214
CHEMBL4174786,COc1ccc(Cn2nnc(O)c2C(=O)Nc2cccc(C(F)(F)F)c2)cc1,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4133558
CHEMBL4166887,O=C(Nc1cccc(C(F)(F)F)c1)c1c(O)nnn1Cc1ccccc1,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4133558
CHEMBL4159654,O=C(Nc1cccc(C(F)(F)F)c1)c1c(O)nnn1CC1CC1,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4133558
CHEMBL23588,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4133558
CHEMBL4238142,COc1ccc(Cn2nnc(O)c2C(=O)Nc2cccc(C(F)(F)F)c2)cc1OC,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4231817
CHEMBL4248154,O=C(Nc1cccc(C(F)(F)F)c1)c1c(O)nnn1Cc1ccc(OC(F)(F)F)cc1,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4231817
CHEMBL4245231,Oc1noc2cccc(Nc3cccc(C(F)(F)F)c3)c12,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4231817
CHEMBL4238730,Oc1noc2ccc(Nc3cccc(C(F)(F)F)c3)cc12,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4231817
CHEMBL4238437,Oc1noc2cccc(Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c12,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4231817
CHEMBL4249427,O=[N+]([O-])c1cccc(Nc2cccc3onc(O)c23)c1,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4231817
CHEMBL4249650,Oc1noc2cccc(Nc3cccc(S(F)(F)(F)(F)F)c3)c12,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of human COX2 assessed as reduction in PGF2alpha production by ELISA,inactive,CHEMBL4231817
CHEMBL4795273,COc1ccc(NC(=O)[C@H]2SCCNC2=O)cc1,Cytochrome c oxidase subunit 2,IC50,100000,Inhibition of COX2 (unknown origin),inactive,CHEMBL4680011
CHEMBL4756619,CC(=O)C(C)(C)C1CC(=O)N(c2ccccc2)C1=O,Cytochrome c oxidase subunit 2,IC50,53470,Inhibition of recombinant human COX2 expressed in baculovirus infected Sf21 cells using arachidonic acid as substrate preincubated for 5 mins followed by substrate addition and measured after 5 mins by UV-visible spectrophotometric method,inactive,CHEMBL4722423
CHEMBL4750799,CC(=O)CC1CC(=O)N(c2ccccc2)C1=O,Cytochrome c oxidase subunit 2,IC50,63880,Inhibition of recombinant human COX2 expressed in baculovirus infected Sf21 cells using arachidonic acid as substrate preincubated for 5 mins followed by substrate addition and measured after 5 mins by UV-visible spectrophotometric method,inactive,CHEMBL4722423
CHEMBL4777181,O=C1CCCC1C1CC(=O)N(c2ccccc2)C1=O,Cytochrome c oxidase subunit 2,IC50,51350,Inhibition of recombinant human COX2 expressed in baculovirus infected Sf21 cells using arachidonic acid as substrate preincubated for 5 mins followed by substrate addition and measured after 5 mins by UV-visible spectrophotometric method,inactive,CHEMBL4722423
CHEMBL4776872,O=C1CCOCC1C1CC(=O)N(c2ccccc2)C1=O,Cytochrome c oxidase subunit 2,IC50,56580,Inhibition of recombinant human COX2 expressed in baculovirus infected Sf21 cells using arachidonic acid as substrate preincubated for 5 mins followed by substrate addition and measured after 5 mins by UV-visible spectrophotometric method,inactive,CHEMBL4722423
CHEMBL4800127,CC1CCC(=O)C(C2CC(=O)N(c3ccccc3)C2=O)C1,Cytochrome c oxidase subunit 2,IC50,56490,Inhibition of recombinant human COX2 expressed in baculovirus infected Sf21 cells using arachidonic acid as substrate preincubated for 5 mins followed by substrate addition and measured after 5 mins by UV-visible spectrophotometric method,inactive,CHEMBL4722423
CHEMBL4755427,O=C1CCCCC1C1CC(=O)N(c2ccc(Br)cc2)C1=O,Cytochrome c oxidase subunit 2,IC50,113440,Inhibition of recombinant human COX2 expressed in baculovirus infected Sf21 cells using arachidonic acid as substrate preincubated for 5 mins followed by substrate addition and measured after 5 mins by UV-visible spectrophotometric method,inactive,CHEMBL4722423
CHEMBL1254699,CC(=O)Nc1ccc(-c2cc(C(=O)O)c3cccc(C(=O)c4ccccc4)c3n2)cc1,Cytochrome c oxidase subunit 1,IC50,9200,Inhibition of sheep COX1,intermediate,CHEMBL1252214
CHEMBL1254700,CC(=O)Nc1ccc(-c2cc(C(=O)O)c3cc(C(=O)c4ccccc4)ccc3n2)cc1,Cytochrome c oxidase subunit 1,IC50,21800,Inhibition of sheep COX1,intermediate,CHEMBL1252214
CHEMBL1254784,CS(=O)(=O)c1ccc(-c2cc(C(=O)O)c3cccc(C(=O)c4ccccc4)c3n2)cc1,Cytochrome c oxidase subunit 1,IC50,15900,Inhibition of sheep COX1,intermediate,CHEMBL1252214
CHEMBL1254785,CS(=O)(=O)c1ccc(-c2cc(C(=O)O)c3cc(C(=O)c4ccccc4)ccc3n2)cc1,Cytochrome c oxidase subunit 1,IC50,24400,Inhibition of sheep COX1,intermediate,CHEMBL1252214
CHEMBL579203,CS(=O)(=O)c1ccc(-c2cc(C(=O)O)c3ccccc3n2)cc1,Cytochrome c oxidase subunit 1,IC50,13400,Inhibition of sheep COX1,intermediate,CHEMBL1252214
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,Cytochrome c oxidase subunit 1,IC50,24300,Inhibition of sheep COX1,intermediate,CHEMBL1252214
CHEMBL4549769,Cc1ccc(-c2nn(-c3ccc(S(N)(=O)=O)cc3)c(=O)c3ccccc23)cc1C,Cytochrome c oxidase subunit 1,IC50,6000,Inhibition of ovine COX1 preincubated for 5 mins followed by arachidonic acid addition and measured after 2 mins by colorimetric method,intermediate,CHEMBL4355639
CHEMBL4441570,O=C1C=C(Nc2ccc(Cl)cc2)CCC1,Cytochrome c oxidase subunit 1,IC50,38040,Inhibition of ovine COX1 assessed as reduction in PGF2alpha incubated for 2 mins using arachidonic acid as substrate by ELISA,intermediate,CHEMBL4363121
