molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL219299,CNC(=O)c1ccc(C(OCCCCCCn2cc(C)c(=O)[nH]c2=O)(c2ccccc2)c2ccccc2)cc1,"Thymidine kinase, mitochondrial",IC50,390,Inhibition of [3H]methyl dThd phosphorylation by TK2,active,CHEMBL908767
CHEMBL220459,Cc1cn(CCCCCCOC(c2ccccc2)(c2ccccc2)c2ccncc2)c(=O)[nH]c1=O,"Thymidine kinase, mitochondrial",IC50,470,Inhibition of [3H]methyl dThd phosphorylation by TK2,active,CHEMBL908767
CHEMBL216998,Cc1cn(CCCCCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O,"Thymidine kinase, mitochondrial",IC50,500,Inhibition of [3H]methyl dThd phosphorylation by TK2,active,CHEMBL908767
CHEMBL1089805,CCCCc1cn([C@H]2C[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]2CO)nn1,"Thymidine kinase, mitochondrial",IC50,230,Inhibition of human recombinant mitochondrial thymidine kinase 2 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting,active,CHEMBL1111768
CHEMBL1090132,Cc1cn([C@H]2C[C@H](n3cc(-c4ccccc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,"Thymidine kinase, mitochondrial",IC50,320,Inhibition of human recombinant mitochondrial thymidine kinase 2 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting,active,CHEMBL1111768
CHEMBL1090133,Cc1cn([C@H]2C[C@H](n3cc(Cc4ccccc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,"Thymidine kinase, mitochondrial",IC50,300,Inhibition of human recombinant mitochondrial thymidine kinase 2 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting,active,CHEMBL1111768
CHEMBL1090134,Cc1cn([C@H]2C[C@H](n3cc(CC4CCCC4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,"Thymidine kinase, mitochondrial",IC50,150,Inhibition of human recombinant mitochondrial thymidine kinase 2 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting,active,CHEMBL1111768
CHEMBL1089867,Cc1cn([C@H]2C[C@H](n3cc(-c4ccc(Cl)cc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,"Thymidine kinase, mitochondrial",IC50,46,Inhibition of human recombinant mitochondrial thymidine kinase 2 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting,active,CHEMBL1111768
CHEMBL1090868,Cc1cn([C@H]2C[C@H](n3cc(-c4ccc(Cl)c(Cl)c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,"Thymidine kinase, mitochondrial",IC50,42,Inhibition of human recombinant mitochondrial thymidine kinase 2 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting,active,CHEMBL1111768
CHEMBL1091931,O=c1[nH]c(=O)n([C@H]2C[C@H](n3cc(-c4ccccc4)nn3)[C@@H](CO)O2)cc1/C=C/Br,"Thymidine kinase, mitochondrial",IC50,250,Inhibition of human recombinant mitochondrial thymidine kinase 2 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting,active,CHEMBL1111768
