molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL486422,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,Aldehyde dehydrogenase,IC50,40,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL112007,O=C(O)CCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,9,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL113617,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCCBr)ccc12,Aldehyde dehydrogenase,IC50,270,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL115314,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCBr)ccc12,Aldehyde dehydrogenase,IC50,260,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL112165,C=CCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,800,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL113640,O=C(O)CCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,9,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL115092,CCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,40,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL132065,O=c1c(-c2ccc(O)cc2)coc2cc(OCC(O)CO)ccc12,Aldehyde dehydrogenase,IC50,100,Compound was evaluated for the inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641178
CHEMBL113123,O=C(O)CCCCCCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,3,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL112437,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCCCCBr)ccc12,Aldehyde dehydrogenase,IC50,300,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL112696,O=C(O)CCCCCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,4,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL134275,O=c1c(-c2ccc(O)cc2)coc2cc(OCCC3OCCCO3)ccc12,Aldehyde dehydrogenase,IC50,400,Inhibition of Hamster Liver mitochondrial ALDH-2,active,CHEMBL641008
CHEMBL262662,O=C(O)CCCCCCCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,130,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL113586,O=C(O)CCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,100,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL109868,NCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,250,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL114083,O=c1c(-c2ccc(O)cc2)coc2cc(OCCOCCOCCO)ccc12,Aldehyde dehydrogenase,IC50,40,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL324628,CCCCC(Oc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1)C(=O)O,Aldehyde dehydrogenase,IC50,1000,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL112070,CCOC(=O)CCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,280,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL113113,O=c1c(-c2ccc(O)cc2)coc2cc(OCCO)ccc12,Aldehyde dehydrogenase,IC50,70,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL113058,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCCCCO)ccc12,Aldehyde dehydrogenase,IC50,120,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL326803,CCOC(=O)COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,130,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL112865,CCOC(=O)CCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,240,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL111984,CC1=C(c2ccccc2)C(=O)OC2CC(Cl)CCC12,Aldehyde dehydrogenase,IC50,150,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL114397,O=C(O)CCCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,40,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL111989,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCCCCCCCO)ccc12,Aldehyde dehydrogenase,IC50,700,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL115109,CC(C)Oc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,80,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL326236,CCOC(=O)C(C)Oc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,320,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL109641,NCCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,100,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL109649,C=CCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,150,Inhibition of hamster liver aldehyde dehydrogenase ALDH-2,active,CHEMBL641141
CHEMBL3128203,O=C1C(=O)N(C/C=C/c2ccccc2)c2ccc(Cl)cc21,Aldehyde dehydrogenase,IC50,100,Inhibition of human ALDH2 using propionaldehyde as substrate preincubated for 2 mins followed by substrate addition by spectrophotometry in presence of NAD+,active,CHEMBL3130565
CHEMBL3128207,O=C1C(=O)N(CCc2ccccc2)c2ccc(Br)cc21,Aldehyde dehydrogenase,IC50,50,Inhibition of human ALDH2 using propionaldehyde as substrate preincubated for 2 mins followed by substrate addition by spectrophotometry in presence of NAD+,active,CHEMBL3130565
CHEMBL3128206,O=C1C(=O)N(CCc2ccccc2)c2ccc(Cl)cc21,Aldehyde dehydrogenase,IC50,410,Inhibition of human ALDH2 using propionaldehyde as substrate preincubated for 2 mins followed by substrate addition by spectrophotometry in presence of NAD+,active,CHEMBL3130565
CHEMBL3660712,CS(=O)(=O)Nc1ccc(-c2coc3cc(C#CC4CC4)ccc3c2=O)cc1,Aldehyde dehydrogenase,IC50,57.7,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660713,CS(=O)(=O)Nc1ccc(-c2coc3cc(C#Cc4ccccc4)ccc3c2=O)cc1,Aldehyde dehydrogenase,IC50,329,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3935026,Cn1cncc1C#Cc1ccc2c(=O)c(-c3ccc(CN[SH](=O)=O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,4.9,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660716,COCC#Cc1ccc2c(=O)c(-c3ccc(NS(C)(=O)=O)cc3)coc2c1,Aldehyde dehydrogenase,IC50,47,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660718,CS(=O)(=O)Nc1ccc(-c2coc3cc(C#CC4(N)CCCCC4)ccc3c2=O)cc1,Aldehyde dehydrogenase,IC50,528,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660719,CS(=O)(=O)Nc1ccc(-c2coc3cc(C#Cc4ccccn4)ccc3c2=O)cc1,Aldehyde dehydrogenase,IC50,90,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3918259,O=c1c(-c2ccc(CN[SH](=O)=O)cc2)coc2cc(C#CC3(O)CCCC3)ccc12,Aldehyde dehydrogenase,IC50,386,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660721,CS(=O)(=O)Nc1ccc(-c2coc3cc(C#Cc4cncnc4)ccc3c2=O)cc1,Aldehyde dehydrogenase,IC50,57,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660722,CS(=O)(=O)Nc1ccc(-c2coc3cc(C#Cc4cccnc4)ccc3c2=O)cc1,Aldehyde dehydrogenase,IC50,21,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660723,COCC#Cc1ccc2c(=O)c(-c3ccc(NS(=O)(=O)C4CC4)cc3)coc2c1,Aldehyde dehydrogenase,IC50,96,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660724,CS(=O)(=O)Nc1ccc(-c2coc3cc(C#CC4(O)CCCC4)ccc3c2=O)cc1,Aldehyde dehydrogenase,IC50,156,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660725,CC(C)(C)OC(=O)N1CCC(C#Cc2ccc3c(=O)c(-c4ccc(NS(C)(=O)=O)cc4)coc3c2)CC1,Aldehyde dehydrogenase,IC50,86,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660726,CC(C)(C)OC(=O)N1CC(C#Cc2ccc3c(=O)c(-c4ccc(NS(C)(=O)=O)cc4)coc3c2)C1,Aldehyde dehydrogenase,IC50,9,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
CHEMBL3660727,CS(=O)(=O)Nc1ccc(-c2coc3cc(C#Cc4cc[nH]c(=O)c4)ccc3c2=O)cc1,Aldehyde dehydrogenase,IC50,9,"ALDH2 Assay: Standard ALDH2 reaction mixtures contained 150 uM formaldehyde, 2.5 mM NAD+, 10 mM MgCl2 and 10 nM recombinant human ALDH2 in 50 mM Hepes buffer, pH 7.4, 0.01% Tween 20 in a final volume of 50 ul using 384-well plates. After 60 min of pre-incubation of compound with ALDH2 and formaldehyde, the reaction was started by adding NAD+ and the reaction mixture was allowed to proceed for 90 minutes. Activity of the enzyme was determined by monitoring NADH formation using Perkin-Elmer Envision Reader with excitation and emission wavelengths set at 340 and 460 nm, respectively.",active,CHEMBL3705108
