molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1784593,Cc1cc(NC2CCc3ccccc3C2)n2ncnc2n1,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,500,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
CHEMBL2172226,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ccnc2n1,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,77,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
CHEMBL1784589,Cc1cc(NC2Cc3ccccc3C2)n2ncnc2n1,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,500,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
CHEMBL598369,Cc1cc(Nc2ccc(Cl)cc2)n2nc(C(F)(F)F)nc2n1,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,90,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
CHEMBL2028042,Cc1cc(C)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,220,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
CHEMBL3689082,CC(C)c1ccc(Nc2c3c(nc4ncnn24)CCC3)cc1,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,250,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
CHEMBL1738786,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(C(C)(F)F)nc2n1,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,38,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
CHEMBL4115743,,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,30,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
CHEMBL1784580,Cc1cc(Nc2ccc3sccc3c2)n2ncnc2n1,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,90,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
CHEMBL546168,Cc1cc(Nc2ccc(C)c(Cl)c2)n2nc(C(F)(F)F)nc2n1,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,130,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
CHEMBL1784577,Cc1cc(Nc2cc(F)c(C(F)(F)F)c(F)c2)n2ncnc2n1,"Dihydroorotate dehydrogenase (quinone), mitochondrial",IC50,190,"Inhibiton Assay: For studying inhibition of Plasmodium or human DHODH enzyme, two assays that are in routine use are described, for example, in Baldwin, et al. (2002) JBiol Chem., 277, 41827-41834, and Baldwin, et al. (2005) J. Biol. Chem., 280. 21847-21853.Briefly, this colorimetric assay monitors the reduction of 2,6-dichloroindophenol (DCIP) at 600 nm (e = 18.8 mM-1cm-1) for measuring DHOD inhibition. The assay was carried out using a solution containing 100 mM HEPES, pH 8.0, 150 mM NaCl, 10% glycerol, 0.1% Triton X-100, 20 micro molar CoQD (coenzyme QD), 200 micro molar L-dihydroorotate, and 120 micro molar DCIP. Reactions are initiated by addition of enzyme to a final concentration in the range of about 5 nM to about 50 nM while maintaining the temperature of a circulating water bath at 25Â° C. Alternatively, for potent compounds, activity was determined by directly measuring the production of orotic acid at 296 nm (Îµ = 4.3 mM-1 cm-1).",active,CHEMBL3705388
