molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL4078220,COc1ccc(Cn2cc(-c3cc(C(F)(F)F)nc(S(=O)(=O)CCCC(=O)N4CCCCC4)n3)ccc2=O)cc1OC,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",EC50,1.4,Inhibition of SDHB in human U2OS cells over-expressing Bim assessed as inhibition of apoptosis preincubated for 1 hr followed by doxycyclin addition to induce Bim protein expression measured after 24 hrs by Cell Titer-Glo assay,active,CHEMBL3994501
CHEMBL4064603,COc1ccc(Cn2cc(-c3cc(C(F)(F)F)nc(S(=O)(=O)CCCC(=O)N4CCCC4)n3)ccc2=O)cc1OC,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",EC50,27,Inhibition of SDHB in human U2OS cells over-expressing Bim assessed as inhibition of apoptosis preincubated for 1 hr followed by doxycyclin addition to induce Bim protein expression measured after 24 hrs by Cell Titer-Glo assay,active,CHEMBL3994501
CHEMBL4086114,COc1ccc(Cn2cc(-c3cc(C(F)(F)F)nc(S(=O)(=O)CCCC(=O)N(C)C)n3)ccc2=O)cc1OC,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",EC50,164,Inhibition of SDHB in human U2OS cells over-expressing Bim assessed as inhibition of apoptosis preincubated for 1 hr followed by doxycyclin addition to induce Bim protein expression measured after 24 hrs by Cell Titer-Glo assay,active,CHEMBL3994501
CHEMBL4073188,COCCCS(=O)(=O)c1nc(-c2ccc(=O)n(Cc3ccc(OC)c(OC)c3)c2)cc(C(F)(F)F)n1,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",EC50,282,Inhibition of SDHB in human U2OS cells over-expressing Bim assessed as inhibition of apoptosis preincubated for 1 hr followed by doxycyclin addition to induce Bim protein expression measured after 24 hrs by Cell Titer-Glo assay,active,CHEMBL3994501
CHEMBL4093871,COCCS(=O)(=O)c1nc(-c2ccc(=O)n(Cc3ccc(OC)c(OC)c3)c2)cc(C(F)(F)F)n1,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",EC50,216,Inhibition of SDHB in human U2OS cells over-expressing Bim assessed as inhibition of apoptosis preincubated for 1 hr followed by doxycyclin addition to induce Bim protein expression measured after 24 hrs by Cell Titer-Glo assay,active,CHEMBL3994501
CHEMBL4083596,CCCCCCCS(=O)(=O)c1nc(-c2ccc(=O)n(Cc3ccc(OC)c(OC)c3)c2)cc(C(F)(F)F)n1,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",EC50,253,Inhibition of SDHB in human U2OS cells over-expressing Bim assessed as inhibition of apoptosis preincubated for 1 hr followed by doxycyclin addition to induce Bim protein expression measured after 24 hrs by Cell Titer-Glo assay,active,CHEMBL3994501
CHEMBL4101603,CCCCCS(=O)(=O)c1nc(-c2ccc(=O)n(Cc3ccc(OC)c(OC)c3)c2)cc(C(F)(F)F)n1,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",EC50,364,Inhibition of SDHB in human U2OS cells over-expressing Bim assessed as inhibition of apoptosis preincubated for 1 hr followed by doxycyclin addition to induce Bim protein expression measured after 24 hrs by Cell Titer-Glo assay,active,CHEMBL3994501
CHEMBL4091379,COc1ccc(Cn2cc(-c3cc(C(F)(F)F)nc(S(C)(=O)=O)n3)ccc2=O)cc1OC,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",EC50,25,Inhibition of SDHB in human U2OS cells over-expressing Bim assessed as inhibition of apoptosis preincubated for 1 hr followed by doxycyclin addition to induce Bim protein expression measured after 24 hrs by Cell Titer-Glo assay,active,CHEMBL3994501
CHEMBL4101046,C#Cc1ccc(Cn2cc(-c3cc(C(F)(F)F)nc(S(C)(=O)=O)n3)ccc2=O)cc1,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",EC50,817,Inhibition of SDHB in human U2OS cells over-expressing Bim assessed as inhibition of apoptosis preincubated for 1 hr followed by doxycyclin addition to induce Bim protein expression measured after 24 hrs by Cell Titer-Glo assay,active,CHEMBL3994501
CHEMBL4082074,COc1ccc(Cn2cc(-c3cc(C(F)(F)F)nc(S(C)(=O)=O)n3)ccc2=O)cc1,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",EC50,94,Inhibition of SDHB in human U2OS cells over-expressing Bim assessed as inhibition of apoptosis preincubated for 1 hr followed by doxycyclin addition to induce Bim protein expression measured after 24 hrs by Cell Titer-Glo assay,active,CHEMBL3994501
