molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL577395,CC(C)(C)c1ccc2[nH]c3c(c2c1)CC(=O)N(Cc1ccc(Cl)c(Cl)c1)c1ccccc1-3,"Malate dehydrogenase, mitochondrial",IC50,770,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,active,CHEMBL1041437
CHEMBL344461,O=C(O)c1cnc2cc(Cl)ccc2c1O,"Malate dehydrogenase, mitochondrial",IC50,3620000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL345688,O=C(O)c1cnc2cc(F)ccc2c1O,"Malate dehydrogenase, mitochondrial",IC50,10550000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL141025,CC(=O)c1ccc2c(O)c(C(=O)O)cnc2c1,"Malate dehydrogenase, mitochondrial",IC50,910000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL138298,CN(C)c1ccc2c(O)c(C(=O)O)cnc2c1,"Malate dehydrogenase, mitochondrial",IC50,480000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL139244,O=C(O)c1cnc2cc([N+](=O)[O-])ccc2c1O,"Malate dehydrogenase, mitochondrial",IC50,1890000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL160456,NC(=O)c1ccc2c(O)c(C(=O)O)cnc2c1,"Malate dehydrogenase, mitochondrial",IC50,740000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL139078,O=C(O)c1ccc2c(O)c(C(=O)O)cnc2c1,"Malate dehydrogenase, mitochondrial",IC50,1070000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL343799,CS(=O)(=O)c1ccc2c(O)c(C(=O)O)cnc2c1,"Malate dehydrogenase, mitochondrial",IC50,660000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL138027,O=C(O)c1cnc2cc(O)ccc2c1O,"Malate dehydrogenase, mitochondrial",IC50,490000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL139402,NS(=O)(=O)c1ccc2c(O)c(C(=O)O)cnc2c1,"Malate dehydrogenase, mitochondrial",IC50,950000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL1161215,O=C(O)c1cnc2cc(S(=O)(=O)O)ccc2c1O,"Malate dehydrogenase, mitochondrial",IC50,2140000,Inhibition of malate dehydrogenase (unknown origin) by spectrophotometry,inactive,CHEMBL3280959
CHEMBL3318469,O=C1CC(c2c(Cl)cccc2Cl)CC(O)=C1Sc1ccccc1Cl,"Malate dehydrogenase, mitochondrial",IC50,100000,Inhibition of human recombinant carboxy-terminal His-tagged MDH-2,inactive,CHEMBL3370225
CHEMBL578640,CCCCCCCCOC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,"Malate dehydrogenase, mitochondrial",IC50,2700,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL575107,CCCCCCOC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,"Malate dehydrogenase, mitochondrial",IC50,4300,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL583199,CCCCCOC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,"Malate dehydrogenase, mitochondrial",IC50,4400,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL565663,CCCCOC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,"Malate dehydrogenase, mitochondrial",IC50,9900,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL573145,CCCOC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,"Malate dehydrogenase, mitochondrial",IC50,6200,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL573425,CCOC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,"Malate dehydrogenase, mitochondrial",IC50,20000,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL575951,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1Cc1ccc(Cl)c(Cl)c1,"Malate dehydrogenase, mitochondrial",IC50,7900,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL572923,Cc1ccc(CN2C(=O)Cc3c([nH]c4ccccc34)-c3ccccc32)cc1,"Malate dehydrogenase, mitochondrial",IC50,10500,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL577566,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccc(Cl)c(Cl)c1,"Malate dehydrogenase, mitochondrial",IC50,1100,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL568703,COc1ccc(CN2C(=O)Cc3c([nH]c4ccc(Br)cc34)-c3ccccc32)cc1,"Malate dehydrogenase, mitochondrial",IC50,1800,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL586055,Cc1ccc(CN2C(=O)Cc3c([nH]c4ccc(Br)cc34)-c3ccccc32)cc1,"Malate dehydrogenase, mitochondrial",IC50,1600,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL575583,COc1ccc2[nH]c3c(c2c1)CC(=O)N(Cc1ccccc1)c1ccccc1-3,"Malate dehydrogenase, mitochondrial",IC50,11900,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL574919,Cc1ccc2[nH]c3c(c2c1)CC(=O)N(Cc1ccccc1)c1ccccc1-3,"Malate dehydrogenase, mitochondrial",IC50,6200,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL574918,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2ccccc2N1Cc1ccccc1,"Malate dehydrogenase, mitochondrial",IC50,4200,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL575106,CC(C)(C)c1ccc2[nH]c3c(c2c1)CC(=O)N(Cc1ccccc1)c1ccccc1-3,"Malate dehydrogenase, mitochondrial",IC50,1600,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL574898,O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2ccccc2N1Cc1ccccc1,"Malate dehydrogenase, mitochondrial",IC50,2700,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
CHEMBL99779,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1,"Malate dehydrogenase, mitochondrial",IC50,2400,Inhibition of mitochondrial malate dehydrogenase by spectrophotometry,intermediate,CHEMBL1041437
